date,open,high,low,close,
2021/08/04,151.685,151.923,151.531,151.892,
2021/08/03,151.697,152.196,151.166,151.709,
2021/08/02,152.294,152.854,151.532,151.814,
2021/07/30,152.751,153.213,152.439,152.474,
2021/07/29,152.813,153.440,152.513,152.859,
2021/07/28,152.309,152.995,152.177,152.841,
2021/07/27,152.516,152.590,151.572,152.364,
2021/07/26,151.965,152.609,151.399,152.534,
2021/07/23,151.494,152.159,151.448,151.994,
2021/07/22,151.190,151.909,150.736,151.663,
2021/07/21,149.623,151.340,149.288,151.254,
2021/07/20,149.586,149.973,148.457,149.712,
2021/07/19,151.439,151.529,149.330,149.705,
2021/07/16,151.822,152.609,151.429,151.450,
2021/07/15,152.377,152.798,151.608,151.899,
2021/07/14,152.789,153.295,152.336,152.399,
2021/07/13,153.209,153.484,152.403,152.817,
2021/07/12,152.980,153.341,152.409,153.208,
2021/07/09,151.250,153.079,151.172,153.058,
2021/07/08,152.644,152.742,150.664,151.363,
2021/07/07,152.613,153.170,152.289,152.630,
2021/07/06,153.514,154.070,152.351,152.650,
2021/07/05,153.451,153.750,153.423,153.638,
2021/07/02,153.430,153.726,153.081,153.574,
2021/07/01,153.565,153.969,153.350,153.480,
2021/06/30,152.902,153.749,152.661,153.688,
2021/06/29,153.464,153.577,152.609,153.010,
2021/06/28,153.841,154.224,153.385,153.527,
2021/06/25,154.237,154.532,153.592,153.823,
2021/06/24,154.859,155.143,153.823,154.378,
2021/06/23,154.276,155.152,154.194,154.907,
2021/06/22,153.622,154.466,153.088,154.411,
2021/06/21,151.977,153.732,151.315,153.717,
2021/06/18,153.390,153.775,152.076,152.105,
2021/06/17,154.753,155.013,153.135,153.544,
2021/06/16,154.952,155.378,154.667,154.804,
2021/06/15,155.232,155.485,154.533,155.059,
2021/06/14,154.599,155.343,154.319,155.278,
2021/06/11,154.958,155.206,154.639,154.757,
2021/06/10,154.667,155.211,154.129,154.985,
2021/06/09,154.860,155.313,154.477,154.741,
2021/06/08,154.899,155.088,154.554,154.989,
2021/06/07,154.982,155.278,154.547,154.878,
2021/06/04,155.479,155.750,155.026,155.124,
2021/06/03,155.211,155.812,155.183,155.617,
2021/06/02,154.889,155.500,154.805,155.292,
2021/06/01,155.594,155.928,154.854,154.961,
2021/05/31,155.749,155.918,155.298,155.685,
2021/05/28,155.909,156.057,155.584,155.850,
2021/05/27,154.027,156.075,153.840,155.993,
2021/05/26,153.866,154.343,153.771,154.108,
2021/05/25,153.832,154.447,153.772,153.902,
2021/05/24,153.975,154.157,153.764,153.963,
2021/05/21,154.305,154.675,154.008,154.151,
2021/05/20,154.073,154.412,153.612,154.372,
2021/05/19,154.403,154.809,153.538,154.145,
2021/05/18,154.299,154.829,154.273,154.478,
2021/05/17,153.966,154.465,153.730,154.443,
2021/05/14,153.739,154.280,153.610,154.128,
2021/05/13,154.075,154.335,153.465,153.777,
2021/05/12,153.561,154.432,153.520,154.203,
2021/05/11,153.607,153.958,153.147,153.619,
2021/05/10,151.977,154.025,151.935,153.635,
2021/05/07,151.546,152.116,151.259,151.997,
2021/05/06,151.721,152.120,151.240,151.548,
2021/05/05,151.742,152.230,151.693,151.862,
2021/05/04,151.651,152.056,150.996,151.780,
2021/05/03,150.958,151.929,150.905,151.684,
2021/04/30,151.736,152.112,150.871,151.026,
2021/04/29,151.249,152.409,151.219,151.857,
2021/04/28,151.112,151.568,151.007,151.422,
2021/04/27,150.134,151.248,150.133,151.231,
2021/04/26,149.708,150.379,149.537,150.265,
2021/04/23,149.303,149.951,149.057,149.812,
2021/04/22,150.456,150.653,149.406,149.416,
2021/04/21,150.620,150.968,150.041,150.494,
2021/04/20,151.219,151.978,150.560,150.643,
2021/04/19,150.418,151.316,149.884,151.243,
2021/04/16,149.788,150.564,149.385,150.558,
2021/04/15,150.079,150.201,149.682,149.860,
2021/04/14,149.918,150.454,149.583,150.065,
2021/04/13,150.290,150.826,149.666,149.960,
2021/04/12,150.300,150.586,149.755,150.316,
2021/04/09,149.929,150.930,149.590,150.327,
2021/04/08,150.851,151.090,149.882,150.085,
2021/04/07,151.679,152.074,150.656,150.894,
2021/04/06,153.049,153.411,151.688,151.714,
2021/04/05,152.875,153.364,152.837,153.196,
2021/04/02,152.913,153.203,152.697,153.046,
2021/04/01,152.538,153.070,152.289,153.007,
2021/03/31,151.476,152.777,151.450,152.574,
2021/03/30,151.074,151.941,151.011,151.624,
2021/03/29,151.200,151.807,150.577,151.145,
2021/03/26,149.913,151.541,149.853,151.175,
2021/03/25,148.757,150.054,148.752,149.941,
2021/03/24,149.293,149.443,148.523,148.814,
2021/03/23,150.792,150.877,149.079,149.340,
2021/03/22,150.351,150.931,150.182,150.897,
2021/03/19,151.668,151.800,150.567,150.952,
2021/03/18,151.967,152.550,151.454,151.611,
2021/03/17,151.321,152.064,151.307,151.983,
2021/03/16,151.594,151.749,150.785,151.443,
2021/03/15,151.683,152.111,151.198,151.708,
2021/03/12,151.745,152.234,151.227,151.843,
2021/03/11,150.935,151.830,150.831,151.824,
2021/03/10,150.710,151.189,150.563,151.056,
2021/03/09,150.482,151.278,150.329,150.671,
2021/03/08,149.725,150.696,149.666,150.535,
2021/03/05,150.022,150.369,149.354,150.026,
2021/03/04,149.266,150.731,149.042,150.010,
2021/03/03,148.877,149.695,148.826,149.267,
2021/03/02,148.486,149.192,148.112,148.937,
2021/03/01,148.430,149.294,148.336,148.667,
2021/02/26,148.713,149.174,147.402,148.439,
2021/02/25,149.651,150.439,148.478,148.845,
2021/02/24,148.422,150.135,148.393,149.682,
2021/02/23,147.736,148.607,147.661,148.553,
2021/02/22,147.785,148.288,147.540,147.751,
2021/02/19,147.571,148.153,147.281,147.708,
2021/02/18,146.652,147.785,146.545,147.640,
2021/02/17,147.290,147.564,146.414,146.775,
2021/02/16,146.457,147.459,146.335,147.426,
2021/02/15,145.322,146.637,145.307,146.477,
2021/02/12,144.677,145.474,144.496,145.365,
2021/02/11,144.607,144.906,144.559,144.690,
2021/02/10,144.430,145.067,144.351,144.707,
2021/02/09,144.505,144.668,144.032,144.427,
2021/02/08,144.450,144.929,144.406,144.612,
2021/02/05,144.154,144.887,144.123,144.777,
2021/02/04,143.150,144.363,142.836,144.331,
2021/02/03,143.385,143.685,143.111,143.341,
2021/02/02,143.279,143.775,143.127,143.493,
2021/02/01,143.551,144.096,143.322,143.391,
2021/01/29,142.926,143.955,142.903,143.495,
2021/01/28,142.449,143.265,142.189,143.126,
2021/01/27,142.304,142.857,142.196,142.507,
2021/01/26,141.694,142.453,141.278,142.341,
2021/01/25,141.943,142.324,141.656,141.893,
2021/01/22,142.081,142.202,141.509,142.039,
2021/01/21,141.381,142.219,141.271,142.109,
2021/01/20,141.574,142.333,141.082,141.357,
2021/01/19,140.824,141.735,140.708,141.606,
2021/01/18,140.982,141.203,140.355,140.864,
2021/01/15,142.036,142.130,140.953,141.084,
2021/01/14,141.632,142.236,141.543,142.083,
2021/01/13,141.782,142.260,141.525,141.664,
2021/01/12,140.781,142.028,140.724,141.785,
2021/01/11,140.814,140.928,140.336,140.851,
2021/01/08,140.746,141.377,140.727,140.973,
2021/01/07,140.089,140.991,140.079,140.823,
2021/01/06,139.806,140.571,139.783,140.246,
2021/01/05,139.881,140.150,139.505,139.975,
2021/01/04,140.877,141.312,139.682,139.962,
2020/12/31,140.387,141.249,140.344,141.163,
2020/12/30,139.819,140.653,139.711,140.616,
2020/12/29,139.609,140.171,139.450,139.825,
2020/12/28,140.236,140.574,139.477,139.674,
2020/12/25,140.565,140.662,140.298,140.513,
2020/12/24,139.638,141.214,139.618,140.242,
2020/12/23,138.355,140.316,138.328,139.750,
2020/12/22,139.052,139.151,137.994,138.458,
2020/12/21,138.629,139.516,136.968,139.061,
2020/12/18,139.981,140.319,139.311,139.406,
2020/12/17,139.617,140.442,139.560,140.020,
2020/12/16,139.458,140.059,139.148,139.704,
2020/12/15,138.619,139.597,138.277,139.570,
2020/12/14,138.823,139.432,138.263,138.704,
2020/12/11,138.498,138.736,136.785,137.592,
2020/12/10,139.635,139.733,138.386,138.536,
2020/12/09,139.045,140.331,138.968,139.752,
2020/12/08,139.141,139.376,138.407,139.125,
2020/12/07,139.615,139.883,137.902,139.214,
2020/12/04,139.632,140.706,139.444,139.973,
2020/12/03,139.563,140.283,139.505,139.688,
2020/12/02,139.995,140.448,138.891,139.616,
2020/12/01,138.914,140.305,138.874,140.008,
2020/11/30,138.638,139.465,138.413,138.927,
2020/11/27,139.192,139.259,138.325,138.349,
2020/11/26,139.743,139.835,138.923,139.234,
2020/11/25,139.432,139.852,138.996,139.838,
2020/11/24,139.122,139.837,139.116,139.544,
2020/11/23,137.894,139.339,137.785,139.292,
2020/11/20,137.547,138.055,137.365,138.011,
2020/11/19,137.734,137.999,137.191,137.594,
2020/11/18,137.975,138.186,137.696,137.712,
2020/11/17,137.884,138.355,137.813,138.020,
2020/11/16,137.923,138.863,137.664,138.028,
2020/11/13,137.814,138.509,137.540,138.069,
2020/11/12,139.244,139.431,137.739,137.942,
2020/11/11,139.635,140.311,139.198,139.438,
2020/11/10,138.644,139.764,138.164,139.673,
2020/11/09,135.923,138.905,135.637,138.718,
2020/11/06,135.971,136.233,135.465,135.856,
2020/11/05,135.672,136.304,135.041,136.113,
2020/11/04,136.397,137.380,135.367,135.734,
2020/11/03,135.223,136.692,135.156,136.527,
2020/11/02,135.072,135.434,134.868,135.316,
2020/10/30,135.082,135.799,134.402,135.624,
2020/10/29,135.468,135.945,134.644,135.228,
2020/10/28,136.103,136.280,134.882,135.424,
2020/10/27,136.367,136.588,136.142,136.215,
2020/10/26,136.572,137.062,136.294,136.513,
2020/10/23,137.107,137.319,136.357,136.581,
2020/10/22,137.373,137.588,136.967,137.201,
2020/10/21,136.357,137.667,136.357,137.520,
2020/10/20,136.391,137.027,136.294,136.601,
2020/10/19,135.890,137.246,135.793,136.533,
2020/10/16,136.007,136.411,135.490,136.237,
2020/10/15,136.743,137.170,135.766,136.079,
2020/10/14,136.398,137.332,135.659,136.832,
2020/10/13,137.601,137.771,136.368,136.433,
2020/10/12,137.661,137.789,137.219,137.604,
2020/10/09,137.063,137.780,136.794,137.719,
2020/10/08,136.838,137.405,136.678,137.143,
2020/10/07,135.912,136.990,135.852,136.894,
2020/10/06,137.124,137.443,135.946,135.998,
2020/10/05,136.068,137.344,135.977,137.262,
2020/10/02,135.917,136.389,135.052,136.294,
2020/10/01,136.124,137.008,135.360,136.018,
2020/09/30,135.739,136.542,135.183,136.268,
2020/09/29,135.364,136.250,135.307,135.896,
2020/09/28,134.693,136.227,134.359,135.362,
2020/09/25,134.294,134.822,133.825,134.617,
2020/09/24,134.004,134.664,133.603,134.326,
2020/09/23,133.584,134.618,133.136,134.066,
2020/09/22,134.044,134.387,133.042,133.677,
2020/09/21,135.095,135.331,133.537,134.111,
2020/09/18,135.775,136.158,134.952,135.148,
2020/09/17,136.021,136.218,134.565,135.876,
2020/09/16,135.766,136.464,135.559,136.081,
2020/09/15,135.744,136.431,135.413,135.902,
2020/09/14,135.500,136.586,135.439,135.826,
2020/09/11,135.808,136.593,135.569,135.770,
2020/09/10,137.876,138.356,135.571,135.984,
2020/09/09,137.598,138.360,136.736,138.015,
2020/09/08,139.879,139.975,137.612,137.633,
2020/09/07,140.746,140.996,139.597,139.878,
2020/09/04,140.816,141.434,140.112,141.062,
2020/09/03,141.657,141.863,140.474,141.036,
2020/09/02,141.663,141.974,141.015,141.770,
2020/09/01,141.513,142.712,141.330,141.814,
2020/08/31,140.541,142.037,140.498,141.541,
2020/08/28,140.612,141.616,140.008,140.672,
2020/08/27,139.959,140.852,139.692,140.651,
2020/08/26,139.791,140.300,139.629,140.023,
2020/08/25,138.440,140.027,138.306,139.913,
2020/08/24,138.327,139.001,138.290,138.435,
2020/08/21,139.758,139.943,138.251,138.505,
2020/08/20,138.887,139.868,138.565,139.791,
2020/08/19,139.489,139.947,138.790,139.017,
2020/08/18,138.824,139.636,138.598,139.522,
2020/08/17,139.603,139.686,138.732,138.911,
2020/08/14,139.555,140.008,139.341,139.494,
2020/08/13,139.197,140.206,139.175,139.717,
2020/08/12,138.966,139.617,138.875,139.277,
2020/08/11,138.292,139.496,138.292,138.944,
2020/08/10,138.205,138.644,138.099,138.512,
2020/08/07,138.691,138.747,137.841,138.335,
2020/08/06,138.462,139.232,138.358,138.724,
2020/08/05,138.063,138.999,138.002,138.471,
2020/08/04,138.558,138.881,137.805,138.177,
2020/08/03,138.286,139.029,137.748,138.521,
2020/07/31,137.076,139.202,136.788,138.558,
2020/07/30,136.220,137.385,136.064,137.138,
2020/07/29,135.752,136.462,135.673,136.353,
2020/07/28,135.759,136.124,135.322,135.873,
2020/07/27,135.612,135.826,135.144,135.737,
2020/07/24,136.029,136.143,134.994,135.503,
2020/07/23,136.338,136.622,135.842,136.134,
2020/07/22,135.796,136.617,135.279,136.455,
2020/07/21,135.695,136.439,135.605,135.971,
2020/07/20,134.403,135.904,134.305,135.822,
2020/07/17,134.600,134.904,134.123,134.448,
2020/07/16,134.502,135.166,134.050,134.669,
2020/07/15,134.565,135.083,134.466,134.610,
2020/07/14,134.649,134.776,133.979,134.605,
2020/07/13,134.862,135.479,134.582,134.691,
2020/07/10,135.115,135.198,134.280,135.045,
2020/07/09,135.196,135.919,135.044,135.141,
2020/07/08,134.842,135.423,134.577,135.232,
2020/07/07,134.093,135.406,133.977,134.884,
2020/07/06,133.967,134.671,133.952,134.144,
2020/07/03,133.966,134.199,133.696,134.129,
2020/07/02,133.938,134.701,133.780,134.028,
2020/07/01,133.761,134.220,132.945,134.050,
2020/06/30,132.241,133.881,132.018,133.842,
2020/06/29,132.189,132.684,131.952,132.296,
2020/06/26,133.105,133.256,132.037,132.270,
2020/06/25,132.959,133.610,132.790,133.111,
2020/06/24,133.210,133.614,132.674,132.953,
2020/06/23,133.198,133.986,132.598,133.400,
2020/06/22,131.793,133.412,131.698,133.300,
2020/06/19,132.776,133.246,131.929,132.001,
2020/06/18,134.033,134.521,132.379,132.860,
2020/06/17,134.951,135.225,134.057,134.320,
2020/06/16,135.240,136.350,134.720,134.922,
2020/06/15,134.276,135.312,133.500,135.294,
2020/06/12,134.598,136.039,133.795,134.444,
2020/06/11,136.509,136.589,134.464,134.657,
2020/06/10,137.107,137.412,136.465,136.546,
2020/06/09,137.947,138.244,136.230,137.151,
2020/06/08,138.904,139.575,137.419,137.952,
2020/06/05,137.518,139.736,137.192,138.885,
2020/06/04,136.885,137.807,135.954,137.485,
2020/06/03,136.350,137.388,136.238,136.946,
2020/06/02,134.332,136.518,134.216,136.402,
2020/06/01,132.675,134.528,132.674,134.358,
2020/05/29,132.543,133.458,131.778,133.145,
2020/05/28,132.018,132.880,131.825,132.609,
2020/05/27,132.639,133.004,131.628,132.061,
2020/05/26,131.193,133.037,131.170,132.695,
2020/05/25,130.937,131.406,130.851,131.224,
2020/05/22,131.450,131.777,130.666,130.992,
2020/05/21,131.544,131.950,131.219,131.527,
2020/05/20,131.835,132.422,131.432,131.608,
2020/05/19,130.804,132.501,130.677,131.948,
2020/05/18,129.382,131.278,129.253,130.846,
2020/05/15,131.076,131.419,129.873,129.928,
2020/05/14,130.901,131.299,130.143,131.166,
2020/05/13,131.305,131.934,130.646,130.958,
2020/05/12,132.687,132.866,131.305,131.369,
2020/05/11,132.219,133.187,131.879,132.775,
2020/05/08,131.310,132.682,131.245,132.376,
2020/05/07,130.927,132.020,130.656,131.345,
2020/05/06,132.364,132.614,130.830,130.937,
2020/05/05,132.730,133.179,132.442,132.499,
2020/05/04,133.333,133.434,132.515,132.768,
2020/05/01,134.869,135.078,133.363,133.651,
2020/04/30,132.848,135.447,132.664,135.008,
2020/04/29,132.690,133.006,131.936,132.959,
2020/04/28,133.101,133.555,132.722,132.751,
2020/04/27,132.920,133.572,132.798,133.252,
2020/04/24,132.902,133.150,132.388,132.795,
2020/04/23,132.865,133.676,132.393,132.891,
2020/04/22,132.350,133.298,132.050,132.906,
2020/04/21,133.731,134.064,131.904,132.472,
2020/04/20,134.276,134.722,133.778,133.784,
2020/04/17,134.378,134.940,133.896,134.458,
2020/04/16,134.415,134.879,133.711,134.411,
2020/04/15,135.199,135.322,133.634,134.524,
2020/04/14,134.683,135.493,134.570,135.337,
2020/04/13,135.036,135.166,134.510,134.729,
2020/04/10,135.113,135.396,134.900,135.158,
2020/04/09,134.690,135.747,134.608,135.258,
2020/04/08,134.116,135.021,133.700,134.743,
2020/04/07,133.535,134.974,132.905,134.212,
2020/04/06,132.590,134.523,132.452,133.666,
2020/04/03,133.681,134.085,132.544,132.924,
2020/04/02,132.499,133.949,132.499,133.714,
2020/04/01,133.347,133.758,132.478,132.509,
2020/03/31,133.554,134.622,132.959,133.508,
2020/03/30,134.005,134.410,132.746,133.927,
2020/03/27,133.446,134.714,132.114,134.446,
2020/03/26,132.164,133.816,130.533,133.692,
2020/03/25,130.803,133.395,129.853,132.073,
2020/03/24,127.968,131.431,127.897,130.744,
2020/03/23,129.200,129.467,127.331,128.405,
2020/03/20,127.044,132.029,126.396,128.693,
2020/03/19,125.092,129.568,124.748,127.041,
2020/03/18,129.710,130.327,124.034,125.681,
2020/03/17,129.889,131.219,128.596,129.706,
2020/03/16,131.535,133.056,128.901,129.975,
2020/03/13,131.711,134.307,131.225,133.730,
2020/03/12,133.749,134.297,131.319,131.476,
2020/03/11,136.042,136.551,133.798,133.977,
2020/03/10,133.914,137.208,133.654,136.475,
2020/03/09,136.250,136.812,132.559,134.174,
2020/03/06,137.365,137.737,136.436,137.468,
2020/03/05,138.321,138.681,137.373,137.498,
2020/03/04,137.110,138.417,137.038,138.402,
2020/03/03,137.999,138.576,136.934,137.259,
2020/03/02,137.219,139.182,137.154,138.151,
2020/02/28,141.116,141.410,137.529,138.265,
2020/02/27,142.298,142.548,141.162,141.170,
2020/02/26,143.101,143.723,142.236,142.420,
2020/02/25,143.036,143.642,142.914,143.302,
2020/02/24,144.071,144.623,142.630,143.213,
2020/02/21,144.319,144.957,143.722,144.631,
2020/02/20,143.844,144.604,143.602,144.405,
2020/02/19,142.746,144.159,142.741,143.876,
2020/02/18,142.874,143.230,142.315,142.781,
2020/02/17,143.129,143.369,142.844,142.896,
2020/02/14,143.170,143.404,142.762,143.239,
2020/02/13,142.605,143.476,142.145,143.245,
2020/02/12,142.098,142.886,142.066,142.681,
2020/02/11,141.700,142.456,141.618,142.204,
2020/02/10,141.330,142.091,141.233,141.757,
2020/02/07,142.086,142.372,141.398,141.426,
2020/02/06,142.732,142.819,142.088,142.246,
2020/02/05,142.702,143.372,142.225,142.809,
2020/02/04,141.152,142.834,140.924,142.725,
2020/02/03,142.815,143.105,141.065,141.248,
2020/01/31,142.499,143.285,142.410,143.071,
2020/01/30,141.663,142.703,141.258,142.612,
2020/01/29,142.147,142.342,141.709,141.936,
2020/01/28,142.083,142.454,141.480,142.183,
2020/01/27,142.425,142.745,142.058,142.185,
2020/01/24,143.588,144.397,142.712,142.889,
2020/01/23,144.304,144.395,143.207,143.711,
2020/01/22,143.237,144.607,143.228,144.336,
2020/01/21,143.280,143.973,142.863,143.349,
2020/01/20,142.975,143.364,142.801,143.341,
2020/01/17,143.933,144.525,143.298,143.343,
2020/01/16,143.238,144.136,143.185,144.065,
2020/01/15,143.142,143.389,142.650,143.285,
2020/01/14,142.699,143.427,142.448,143.208,
2020/01/13,142.710,142.968,142.352,142.783,
2020/01/10,143.078,143.488,142.887,142.955,
2020/01/09,142.823,143.455,142.423,143.132,
2020/01/08,142.264,143.101,141.123,142.899,
2020/01/07,142.616,143.290,141.988,142.274,
2020/01/06,141.052,142.786,140.775,142.717,
2020/01/03,142.595,142.780,140.998,141.317,
2020/01/02,143.995,144.189,142.267,142.618,
2019/12/31,142.671,144.363,142.429,144.105,
2019/12/30,143.170,143.431,142.587,142.759,
2019/12/27,142.397,143.646,142.041,143.120,
2019/12/26,141.475,142.726,141.475,142.469,
2019/12/25,141.308,141.728,141.260,141.491,
2019/12/24,141.371,141.860,141.165,141.452,
2019/12/23,142.193,142.534,141.163,141.468,
2019/12/20,142.216,143.049,142.120,142.361,
2019/12/19,143.211,143.864,141.977,142.262,
2019/12/18,143.619,143.863,143.068,143.278,
2019/12/17,146.036,146.055,143.477,143.772,
2019/12/16,145.685,146.807,145.685,146.113,
2019/12/13,146.987,147.955,145.454,145.882,
2019/12/12,143.162,144.146,142.478,144.016,
2019/12/11,142.714,143.372,142.540,143.242,
2019/12/10,142.617,143.663,142.551,142.992,
2019/12/09,142.629,143.106,142.562,142.623,
2019/12/06,143.017,143.148,142.370,142.648,
2019/12/05,142.597,143.247,142.584,143.115,
2019/12/04,141.090,142.784,140.831,142.648,
2019/12/03,140.919,141.711,140.910,141.126,
2019/12/02,141.330,141.816,140.940,141.032,
2019/11/29,141.350,141.683,141.107,141.559,
2019/11/28,141.490,141.847,141.246,141.424,
2019/11/27,140.150,141.524,140.049,141.444,
2019/11/26,140.440,140.889,139.985,140.329,
2019/11/25,139.584,140.625,139.456,140.506,
2019/11/22,140.145,140.485,139.323,139.441,
2019/11/21,140.249,140.916,139.974,140.168,
2019/11/20,140.229,140.484,139.677,140.360,
2019/11/19,140.652,140.932,140.102,140.295,
2019/11/18,140.519,141.574,140.359,140.763,
2019/11/15,139.591,140.459,139.576,140.415,
2019/11/14,139.735,139.862,139.399,139.649,
2019/11/13,140.021,140.248,139.440,139.842,
2019/11/12,140.067,140.586,139.943,140.030,
2019/11/11,139.668,140.485,139.365,140.200,
2019/11/08,140.090,140.210,139.414,139.601,
2019/11/07,139.992,140.530,139.486,140.031,
2019/11/06,140.628,140.650,139.864,140.048,
2019/11/05,139.834,140.742,139.779,140.673,
2019/11/04,139.886,140.236,139.839,139.865,
2019/11/01,139.728,140.151,139.580,139.988,
2019/10/31,140.298,140.684,139.601,139.805,
2019/10/30,139.930,140.501,139.864,140.401,
2019/10/29,140.053,140.533,139.466,140.076,
2019/10/28,139.362,140.252,139.208,140.085,
2019/10/25,139.469,139.797,139.025,139.392,
2019/10/24,140.242,140.738,138.870,139.612,
2019/10/23,139.579,140.420,139.083,140.333,
2019/10/22,140.685,141.109,139.511,139.609,
2019/10/21,140.348,141.359,139.471,140.733,
2019/10/18,140.011,140.629,139.344,140.313,
2019/10/17,139.448,141.483,138.626,140.069,
2019/10/16,139.004,140.098,137.580,139.532,
2019/10/15,136.623,139.314,136.441,139.143,
2019/10/14,136.810,137.168,135.498,136.654,
2019/10/11,134.243,137.878,134.008,137.221,
2019/10/10,131.106,134.564,130.728,134.274,
2019/10/09,130.745,131.816,130.651,131.166,
2019/10/08,131.750,132.114,130.428,130.849,
2019/10/07,131.169,132.242,131.166,131.806,
2019/10/04,131.726,131.992,131.279,131.816,
2019/10/03,131.784,132.545,131.483,131.753,
2019/10/02,132.577,132.588,131.575,131.819,
2019/10/01,132.701,133.357,131.781,132.578,
2019/09/30,132.618,133.332,132.472,132.888,
2019/09/27,132.801,133.280,132.321,132.713,
2019/09/26,133.018,133.287,132.381,132.896,
2019/09/25,133.667,134.007,132.840,133.063,
2019/09/24,133.597,134.580,133.537,133.789,
2019/09/23,134.258,134.546,133.347,133.710,
2019/09/20,135.273,135.746,134.112,134.126,
2019/09/19,135.166,135.514,134.222,135.295,
2019/09/18,135.041,135.654,134.594,135.272,
2019/09/17,134.360,135.418,133.987,135.150,
2019/09/16,134.297,134.860,133.873,134.394,
2019/09/13,133.289,135.101,133.242,135.063,
2019/09/12,132.805,133.640,132.170,133.331,
2019/09/11,132.738,133.364,132.669,132.979,
2019/09/10,132.342,132.933,132.017,132.897,
2019/09/09,131.034,132.558,130.806,132.367,
2019/09/06,131.804,132.128,131.265,131.449,
2019/09/05,130.311,132.165,129.916,131.868,
2019/09/04,128.073,130.414,127.937,130.413,
